smiles,TC,SA,SC,atom_count
*CC(*)C,0.2445,6.81263495,1.298382123,5
*CC(*)CC,0.22625,6.583313619,2.46203475,6
*CC(*)CCC,0.246333333,5.862972811,2.361664522,7
*CC(*)C(C)C,0.18375,6.026353807,2.428457495,7
*CC(*)CCCC,0.230666667,5.310989423,2.138163687,8
*CC(*)CC(C)C,0.208333333,5.514917555,2.405758025,8
*CC(*)CCCCC,0.26225,4.877386847,2.379733478,9
*CC(*)CCC(C)C,0.216,5.159840108,2.413800269,9
*CC(*)CCC(C)CC,0.229,5.319046134,3.146004649,10
*CC(*)CCCCCCC,0.267,4.325837253,2.625512585,11
*CC(*)CCCCCCCC,0.286,4.13254673,2.625512585,12
*CC(*)(C)C,0.2125,5.67263114,2.169541085,6
*CC(*)(C)CC,0.17,6.091137517,2.115967574,7
*CCC(*)(C)C,0.195666667,5.701351188,2.139989948,7
*CC(C)C(*)(C)C,0.202666667,5.757218689,2.753943943,8
*CCCC(*)(C)C,0.236,5.447604484,2.36285521,8
*CCCC(*)(C)CC,0.234,5.732799974,2.702136861,9
*CCCCCCCC(*)C,0.371,4.578686484,3.179751684,11
*CC(*)C1CC1,0.208,5.953357427,2.530275784,7
*CC(*)C1CCC1,0.209,5.417308105,2.446673519,8
*CC(*)C1CCCC1,0.201666667,4.903314463,2.692107056,9
*CC(*)CC1CCCC1,0.228333333,4.648575734,2.64475463,10
*CC(*)C1CCCCC1,0.190666667,4.589071888,2.591818349,10
*CC(*)CC1CCCCC1,0.22125,4.394489015,2.666891126,11
*CC(*)Cc1ccccc1,0.196333333,3.903142613,2.326159966,11
*CC(*)CCc1ccccc1,0.180333333,3.794186714,2.495479859,12
*CC(*)C(C)c1ccccc1,0.150666667,4.228320641,2.810324067,12
*CC1CCC(*)C1,0.335333333,6.140448249,2.463623404,8
*CC(*)CCCCCC,0.238,4.568059617,2.625512585,10
*CC(*)CCCCCCCCCC,0.33575,3.847980106,2.625512585,14
*CC(*)CCCCCCCCCCCC,0.339,3.654586931,2.625512585,16
*CC(*)CCCCCCCCCCCCCCCC,0.375,3.392241727,2.625512585,20
*CC(*)CCCC(C)C,0.257333333,4.851718591,2.744220743,10
*CC(*)C(C)CC,0.18975,5.794196221,2.404102141,8
*CC(*)C(CC)CC,0.188333333,5.318240108,2.450312168,9
*CC(*)CC(CC)CC,0.219,5.110226284,2.73643617,10
*CC(*)CC(C)CC,0.2085,5.56160125,2.94979398,9
*CC(*)CC(C)(C)C,0.1735,5.428949959,2.292885725,9
*CC(*)CC(C)(C)CC,0.186333333,5.339405053,2.889647449,10
*CC(*)CCCC(C)(C)C,0.216,4.930653407,2.708449022,11
*CC(*)CCC1CCCCC1,0.217666667,4.256131058,2.867603257,12
*CC(*)CCCC1CCCCC1,0.246333333,4.141720784,3.080399286,13
*CC1(*)CCC(C)CC1,0.164,4.718736033,2.721719687,10
*CC(*)(C)CCC,0.174,5.571811401,2.587337735,8
*/C=C/CCC*,0.2535,5.921314275,2.483230145,7
*/C=C/CC*,0.244,6.665661318,2.261726228,6
*/C=C/CC*,0.248666667,6.665661318,2.261726228,6
*/C=C/CC*,0.272,6.665661318,2.261726228,6
*C(*)C,0.203333333,6.316551893,1.38392093,4
*CCC(C)C(*)C,0.233,6.095059298,2.480514178,8
